source,gn,es,dialect_anotator_1,dialect_anotator_2,dialect_anotator_3,dialect_unified,correctness_annotator_1,correctness_annotator_2,correctness_annotator_3,correctness_unified
seminario,apopykatuete,obligación,guarani,guarani,guarani,guarani,A,A,A,A
libro_td,añetehápe emboykese ko puruhárape? Ha avei neirũramo,Confirmas que deseas bloquear a este usuario? Y también eliminar este usuario como tu amigo,guarani,guarani,guarani,guarani,A,B,A,A
seminario,mbo’ereko,sistema,guarani,guarani,guarani,guarani,A,A,A,A
hackaton,Ha'e he'ikuri añete,él dijo la verdad.,guarani,guarani,guarani,guarani,A,A,A,A
abc,"Intendenta Lorena Burgos (ANR) he’i tekotevêha ojeguereko oñangarekóva tekoháre ojekuaáva “Guardianes del Bosque”, orekógui ko distrito 1990 hectárea reserva natural serranía, oñeha’ãva turismo verde, péicha omopyendáse hikuái municipio capital del turismo.","Asimismo, la intendenta Lorena Burgos (ANR) manifestó que es de trascendental importancia esta iniciativa de los “Guardianes del Bosque”, porque este distrito cuenta con 1990 hectáreas de reservas naturales de serranías, que pretende explotar como turismo verde.",jopara,jopara,jopara,jopara,C,A,A,A
seminario,arandupy,currículum,guarani,guarani,guarani,guarani,A,A,A,A
anlp,Ipirevaihínakuri.,Estaba de mal humor.,guarani,guarani,guarani,guarani,A,A,A,A
abc,"Ko’ã mba’e oikóvo ñembohory ramo umi organismo Ministerio del Interior poguýpe oiméva ipererî, oikuaasevévo ofalta, extrema vulnerabilidad controles fronterizos.","Lo acontecido ridiculiza a los citados organismos dependientes del Ministerio del Interior y evidencia, por si aún hiciera falta, la extrema vulnerabilidad de nuestros controles fronterizos.",jopara,jopara,jopara,jopara,A,A,A,A
libro_gn,Oĩma,Hecho,guarani,guarani,guarani,guarani,A,D,A,A
anlp,"Nde, mitâ, péina ápe apañuái cableado rehegua namemái oikóva.","oh, chico, aquí tienes un extraño problema de cableado",jehe'a,jehe'a,jehe'a,jehe'a,A,C,A,A
abc,"Ha’e oreko mbohupárõ presidente de la República, Mario Abdo Benítez.","El mismo se repone sin mayores inconvenientes, según confirmó el ministro de Salud, Julio Mazzoleni e incluso fue visitado por el presidente de la República, Mario Abdo Benítez.",jopara,jopara,jopara,jopara,D,D,B,D
spl,Ko taller ojejapo Ybytymi Municipalidad pe.,El taller se realizó en la sede de la Municipalidad de Ybytymi.,guarani,jopara,jopara,jopara,A,A,A,A
abc,"Diputado ha presidente Partido Kolo’ogua, Pedro Alliana, osê omoherakuãvo declaraciones ojapóva seccionalero-kuéra kolo’o ha ohai Asociación Nacional Republicana (ANR) orekóvo intención omokyre’ÿvo jeporavo jey presidencial péva reforma constitucional rupive.","El diputado y presidente del Partido Colorado, Pedro Alliana, salió al paso de las declaraciones de los seleccionaleros colorados y desmarcó a la Asociación Nacional Republicana (ANR) de las intenciones de impulsar una reelección presidencial a través de una reforma constitucional.",jopara,jopara,jopara,jopara,A,A,A,A
abc,"Tembiapópe Directorio ovaléva base ome'êvo hemiandu pe omyakãtáva PLRA-gua ojupívo pe renegociación ha omotenondéva amplio debate sociedad orekóva ko tema, omyesakãva Alegre.","Este trabajo será entregado al Directorio y servirá de base para la postura que asumirá el PLRA sobre la renegociación y abrirá un debate amplio a la sociedad sobre el tema, conforme explicó Alegre.",jopara,jopara,jopara,jopara,A,A,A,A
blogs,"AMÉRICO PÉREZ PEÑA niko heñóikuri tavapehê Cerro León, Táva Piraju, Tetâpehê Paraguari, Paraguay Retâme; ára 7 jasykôi ary 1937-pe.","AMÉRICO PÉREZ PEÑA nació en la Compañía Cerro León, Distrito de Piraju, en el Departamento de Paraguari, República del Paraguay; el día 7 de febrero del año 1937.",guarani,guarani,guarani,guarani,A,A,A,A
spl,PÑS sãmbyhyhára omoirũta Instituto Cervantes aty guasu tembipurupyahu rupive,Ministra de SPL será invitada especial en un importante evento virtual del Instituto Cervantes,guarani,guarani,guarani,guarani,A,A,A,A
libro_gn,Guarani Ñeꞌẽ  .,La lengua guaraní  .,guarani,guarani,guarani,guarani,A,C,A,A
libro_td,oha'arõva ñemoneĩ,Pendientes por aprobación,guarani,guarani,guarani,guarani,A,D,A,A
anlp,Ambyasy ndachera'yiha.,Siento que no pudieras tener hijos.,guarani,guarani,guarani,guarani,D,D,A,D
blogs,Natekotevẽi oiko ñane akã yvatete umi arai rehe; ñapyrũ mbarete va'erã yvy ári iporã haĝua ñande rekove ha ñane rembiapo.,No es necesario tener la cabeza tan alta por las nubes; debemos pisar fuerte la tierra para que sean buenos nuestra vida y nuestro trabajo.,guarani,guarani,guarani,guarani,A,A,A,A
blogs,Embou oréve nde Pytu Marangatu ikatuhaĝuáicha roipyhy Túva Marangatu marandu,Envíanos tu Espíritu Santo para que nos dispongamos a recibir el mensaje del Santo Padre,guarani,guarani,guarani,guarani,A,A,A,A
anlp,Upe oñemúva hérava Cutty ogana 10.000 $ peteî jasýpe.,El cliente llamado Cutty gana $ 10000 al mes.,jehe'a,jehe'a,jopara,jehe'a,A,A,A,A
anlp,Ikatúpa eremi chéve mba'éichapa rejapóne aerobic?,¿Puedes explicarme cómo realizarías aerobic?,guarani,guarani,guarani,guarani,A,A,A,A
libro_gn,"Oñemombaꞌeguasuvéta ojeꞌeséva, ha ndahaꞌéi katuete ñeꞌẽ retepy  .",Lo importante serán las ideas y no la forma como se han expresado  .,guarani,guarani,guarani,guarani,A,A,C,A
seminario,omba’ejoguáva,cliente,guarani,guarani,guarani,guarani,A,A,A,A
abc,"Heta mba'e ohasa cheakãre heta cheguenta apaga haguã ha ko viru ou porã ramo'ã cheve, pero apensa ikatúha apaga che cuenta, peroapytárõ plata ajena naiporã mo'ãi che conciencia-pe”, he'i mba'apohára, oñe'ëvo ore redacción-pe.","Muchas cosas se me cruzaron por la mente porque tengo muchas cuentas que pagar y el dinero me iba a venir bien, pero pensé que las cuentas las puedo pagar, pero si me quedada con la plata ajena no iba a quedar bien con mi conciencia”, señaló el trabajador, en guaraní, en contacto telefónico desde esta redacción.",jopara,jehe'a,jopara,jopara,A,B,A,A
abc,"Umi manifestante ombyasy hikuái mburuvichakuéra oiporúvamillones de dólares fondo público, omoañete ÿre hikuái obra oñeikotevêva población local-pe.","Los manifestantes lamentaron que las autoridades utilicen millones de dólares de los fondos públicos, sin concretar las obras que requiere la población local.",jopara,jopara,jopara,jopara,A,A,A,A
abc,"Mburuvicha guasu ha’ete oho oñomongeta hendivekuéra “mba’apohára”, ogueraháva pytyvõ incondicional ichupe ha ohasávo “osepilla” ministra de Trabajo, Carla Bacigalupo-pe, ohenóiva’ekue chupekuéra “protesta jave” ombotovévo juicio político, ojeipysóva upe tendáre.","El propio mandatario fue a dialogar con el grupo de “trabajadores”, quienes llevaron respaldo incondicional a él y de paso “cepillaron” a la ministra de Trabajo, Carla Bacigalupo, una de las primeras en convocar a sus funcionarios en las pasadas “protestas” contra el juicio político, que se desarrollaron en el mismo sitio.",jopara,jehe'a,jehe'a,jehe'a,A,A,A,A
abc,"Odenunsia avei ko'ã policía ojeréva comunidad Makutinga, omoirûva empresario Plinio Pereira, exgobernador Itapúa ha Javier Zavala, orekóha prestanombre ha'éva Antoliano Sánchez.","Denunció también que policías rodean a la comunidad Makutinga, en complicidad con el empresario Plinio Pereira, exgobernador de Itapúa, y Javier Zavala, que tendrían como prestanombre a Antoliano Sánchez.",jopara,jopara,jopara,jopara,A,A,A,A
hackaton,itujaietereima,él es demasiado viejo.,guarani,guarani,guarani,guarani,A,B,A,A
hackaton,ndaipotái mba'eve,no quiero nada.,guarani,guarani,guarani,guarani,A,A,A,A
spl,"Upe rire, PÑS ha SENADIS ombojohovake opa umi ojejapokuaáva oñembohapévo tembiaporã ko ñe'ẽ rérape.","Luego, la SPL y la SENADIS discutieron sobre los desafíos y acciones posibles para el Plan de Trabajo, basados en las presentaciones realizadas.",guarani,guarani,guarani,guarani,B,D,A,D
blogs,Ha ñambohasa ñande po ojupe,Y fraternalmente démonos la mano,guarani,guarani,guarani,guarani,A,A,B,A
abc,"Léi N° 1.539/99 omoheñói Sistema Integrado de Administración Financiera (SIAF), interno ha externo, ikatu haguã entidades públicas oeko mecanismo de supervisión, evaluación ha control de gestión.","La Ley N° 1.539/99 creó un Sistema Integrado de Administración Financiera (SIAF), interno y externo, para que en las entidades públicas haya mecanismos de supervisión, evaluación y control de gestión.",jopara,jopara,jopara,jopara,A,A,A,A
spl,"Ko MECIP jegueroguata porãve ko'ẽrei rehe, PÑS araka'eve ndoiporúi iviru ohepyme'ẽvo empresa consultora pe, ndojevaleivoi ko'ãvare.",La marcada ascendencia calificativa registrada en la implementación del MECIP dentro de la institución se logró sin haber comprometido parte alguna del presupuesto recurriendo a empresas consultoras.,jehe'a,jehe'a,jehe'a,jehe'a,A,B,A,A
libro_gn,Aguaratata rehe jeguata,Tour por firefox,guarani,guarani,guarani,guarani,A,A,A,A
seminario,Ñe’ẽasa ijeheguigua ha computadora pytyvõme (oñembopya’eve hag̃ua kuaapy ñemyasãi umi comunidad oñemboykévape) .,Traducción automática y asistida por computadora (para acelerar la difusión del conocimiento de y a comunidades marginadas) .,jehe'a,jehe'a,jehe'a,jehe'a,A,A,A,A
abc,"Museo Casa de la Independencia oñeinauguró pyhareve peteî espacio infantil ko'ã mitãnguéra oikuaa haguã umi objeto valioso, siglo XIX guare.","El Museo Casa de la Independencia inauguró esta mañana un espacio infantil en el que los más chicos podrán aprender no solo sobre los objetos valiosos, sino a partir de ellos de la vida del siglo XIX.",jopara,jopara,jopara,jopara,A,D,B,D
spl,"Ogueromandu’akuévo iñe’ẽ ypy ha’eha guarani, he’i: “Che cheñe’ẽ ypy guarani, guarani raẽ aiporukuaava’ekue ha hetaiterei ñane retãme guarani raẽ oikuaáva.","Al recordar que su lengua materna es el guaraní, indicó: “Che che ñe’ẽ ypy guarani, guarani raẽ aiporukuaava’ekue ha hetaiterei ñane retãme guarani raẽ oikuaáva.",guarani,guarani,guarani,guarani,C,A,A,A
spl,Ko kuatia rupive oñembopyahu ñe’ẽme’ẽ ojegueroguatamava’ekuevoi upe 2014 ary guive.,El convenio consiste en una prórroga de los compromisos ya firmados entre ambas instituciones en el 2014.,guarani,guarani,guarani,guarani,A,A,A,A
spl,"Ko aty guasu oikova'ekue upe arapoteĩ ohasava'ekuépe ko mbo'ehaovusu rógape, omoakã Ñe'ẽ Rape'apo Moakãharapavẽ, Paraguái Ñe'ẽnguéra Sãmbyhyha pegua,Celia Godoy, oykekóva avei tapicha omoakãtava UAL ha mayma UNC mburuvichápe.","La actividad académica realizada el viernes último en la sede de la universidad fue presidida por la Directora General de Planificación Lingũística de la Secretaría de Políticas Lingũísticas, Celia Godoy, quien a su vez brindó un asesoramiento técnico-lingũístico al referente de la Unidad de Asuntos Lingũísticos y a la comunidad académica de la UNC.",guarani,guarani,guarani,guarani,A,B,A,A
libro_gn,Sistema oñemombaꞌapova ha heta hendáicha ojeporúva,Sistema operativo multiusuario,guarani,jehe'a,jehe'a,jehe'a,A,A,D,A
spl,Upe arapo ohasava'ekuépe oñombyaty ñepyrõ Paraguái Ñe'ẽnguéra Sãmbyhyha ha mayma tapicha omoakãva ko'ã “Unidad de Asuntos Lingũísticos” ombohapévo hikuái apopyrãnguéra ha péicha tomoañete hembiaporãita.,El jueves último se realizó el primer encuentro entre la Secretaría de Políticas Lingũísticas y los representantes de las Unidades de Asuntos Lingũísticos de los entes mencionados con el fin de delinear las primeras tareas a ser llevadas adelante en cumplimiento de sus funciones.,guarani,jehe'a,guarani,guarani,B,A,A,A
seminario,teko marangatu,dignidad humana,guarani,guarani,guarani,guarani,A,B,A,A
blogs,"-Mokôive, peteîchaite.",-Los dos igual.,guarani,guarani,guarani,guarani,A,A,A,A
spl,"Ko mba’e rupive oñemba’apo umi ypykuéra ñe’ẽ puruhára ha avei umi oykekóva iñe’ẽnguéra ndive jahechápa noñembohapéi oñeñongatu ha oñemombarete jeývo iñe’ẽnguéra jepuru, ojeguatavévo péicha ko tembiapo guasu omoingove jeyséva iñe’ẽnguéra jepuru opa hendárupi.","La mencionada visita tuvo como objetivo trabajar con los hablantes y referentes lingüísticos en una propuesta de documentación y revitalización de las mencionadas lenguas, a fin de proseguir con el registro y uso de las mismas en los diferentes ámbitos.",guarani,guarani,guarani,guarani,A,A,C,A
abc,"Según ministerio, ko'ã jornada oreko jehupytyvoirãme Ley 5804/17, ha Norma Internacional ISO 45001, oimehápe umi tembiporu profesional oipysóvo conocimiento ha onohendáva ko'ã ár ajahávape.","Según el ministerio, estas jornadas tienen como objetivo presentar la nueva Ley 5804/17, y la Norma Internacional ISO 45001, además de brindar herramientas a los profesionales para amplificar conocimientos y actualizarse.",jopara,jopara,jopara,jopara,A,A,A,A
abc,"Ombojoapy ojerurévo permiso Fiscalía General del Estado “péva bienestar ifamilia ha proceso de investigación”, ojapóva, ogaranti ha'éva “transparante ciudadanía rovake”, he'io.","Añadió que, no obstante, decidió pedir permiso ante la Fiscalía General del Estado “por el bienestar de su familia y el proceso de investigación”, que se le realizará, para garantizar que esta “sea transparente ante la ciudadanía”, dijo.“Primero está el país”, manifestó en un contacto con la 1020 AM, al tiempo de agregar que su pedido de permiso “ya está en curso”.",jopara,jopara,jopara,jopara,B,B,B,B
abc,"También consideraron temas de la relación económico-comercial, entre los que se pueden destacar el sistema de monitoreo importación Argentina (SIMI), omba’ejeruréva autorización obra dragado río Paraguay ko’ã tramo ojoajúva Asunción-Confluencia, reserva carga transporte fluvial.","También consideraron temas de la relación económico-comercial, entre los que se pueden destacar el sistema de monitoreo de importaciones de Argentina (SIMI), la solicitud de autorización de obras de dragado del río Paraguay en el tramo compartido Asunción-Confluencia, así como la reserva de carga del transporte fluvial.",jopara,jopara,jopara,jopara,D,B,A,D
seminario,ñemoñanga,familia,,guarani,guarani,guarani,,D,C,D
hackaton,che aguereko ñe'ẽryru,yo tengo un diccionario.,guarani,guarani,guarani,guarani,A,A,A,A
abc,"Gobierno oipyhýva umi medida extraordinaria ha odestináva suma multimillonaria ko’ã coyuntura ohasáva, situación ikatúva ovale umi ipokarêva umi corrupto katuete ha oaspiráva omyenyhê bolsillo maymáva salud costa rehe.","El Gobierno ha adoptado medidas extraordinarias y ha destinado sumas multimillonarias en la actual coyuntura, situación que puede servir para que los corruptos de siempre y los que aspiran a serlo se llenen los bolsillos a costa de la salud de todos.",jopara,jopara,jopara,jopara,A,A,A,A
abc,Oikuaauka oikótaha teleconferencia oimeháme umi mandatario región omotenondéva acuerdo conjunto ojerurévo gente opytáva hógape.,Anunció además que ese mismo día habrá una teleconferencia entre mandatarios de la región para hacer un acuerdo en conjunto y pidió a la gente que se quede en su casa.,jopara,jopara,jopara,jopara,A,A,A,A
abc,"“Tuicha emoción ndaivevúi ñaguahê ko'á peve”, he'i José Daniel Nasta, fundador agencia, ome'êvo aguyje umi oîva upe tendápe.","“Es grande la emoción porque no fue fácil llegar hasta acá”, dijo José Daniel Nasta, fundador de la agencia, agradeciendo a todos los que se hicieron presentes.",jopara,jehe'a,jopara,jopara,D,A,A,A
hackaton,nde repurahéi,usted cantó.,guarani,guarani,guarani,guarani,B,A,A,A
libro_gn,"Umi tetã ambue ojeporuha rupi ko ñeꞌẽ, pe guarani paraguájo hesakã porãnte avei, upéva upe mbaꞌe ojehu ojokupytymemete rehe tetãnguéra, oñomoñemu ha oñopytyvõ rupi hikuái ha ndahaꞌéipype ojoavykakuaaitereíva  .","En los países vecinos donde se usa esta lengua, la variedad mencionada es totalmente ininteligible, por la constante circulación de bienes y servicios ofrecidos en la misma y porque las variaciones dialectales no son muy pronunciadas  .",guarani,guarani,guarani,guarani,D,D,B,D
spl,"PÑS ñeipytyvõ ojepysóta ág̃a arapoteĩ 29 ko jasyapy peve ha og̃uahẽta 70 temimoĩmbýrupipe, taha’e motenondeha, sãmbyhyha térã ambueve temimoĩmby oĩva Tetã Pokatuvete ryepýpe. Oikohína Instituto Nacional de Cooperativismo (INCOOP) rógape, opytáva Paraguay távape..","La serie de asistencia técnica ofrecida por la SPL se extenderá hasta el día viernes 29 y llegará a unas setenta instituciones entre ministerios, secretarías y otros entes dependientes del Poder Ejecutivo. Se realiza en la sede del Instituto Nacional de Cooperativismo (INCOOP), en la ciudad de Asunción..",guarani,guarani,guarani,guarani,A,A,A,A
abc,"Omoañete orekóha en cuenta cuoteo político ha ohesa'ÿijo hikuái mérito orekóva peteîteî  audiencia-gua, oporandu hikuái  mba'e cuestión delicada orekóva, ha'eháicha inamovilidad ministro-kuéra ha presión política.","Aseguró que no tienen en cuenta el cuoteo político y están analizando los méritos de cada uno y las audiencias, donde les preguntan diversas cuestiones delicadas, como la inamovilidad de ministros y la presión política.",jopara,jopara,jopara,jopara,D,A,A,A
abc,"Desplante ojapóva presidente Horacio Cartes ombojopóiva Premio Nacional de Literatura 2017, ñe'ëpapára ha público en general oguerohory haihára Susy Delgado-pe hikuái Plaza Uruguaya-pe ha heta gente oñembyaty.","Tras lo que fue considerado un desplante del presidente Horacio Cartes a la ganadora del Premio Nacional de Literatura 2017, escritores y público en general rindieron homenaje a la escritora Susy Delgado en la Plaza Uruguaya con mucha asistencia.",jopara,jopara,jehe'a,jopara,A,A,A,A
seminario,1 Ñe’ẽ ñeisãmbyhy ha rape’apo .,1 Políticas y planificación lingüísticas .,guarani,guarani,guarani,guarani,A,A,A,A
seminario,"Ko’ẽrõ ára niko, oñembohape potáva texto Estado pegua ñemoñe’ẽasa, tekotevẽta ojeguereko: a .","En un futuro próximo, para facilitar las tareas de traducción de textos oficiales, será necesario contar con: a .",guarani,guarani,jehe'a,guarani,A,B,A,A
libro_gn,Oñemoñeꞌẽasáta ojeꞌeséva ha ndahaꞌéi ñeꞌẽ retepy  .,"Las traducciones serán de sentido, no literales  .",guarani,guarani,guarani,guarani,A,A,C,A
spl,"Upe atýpe ,CanadaReta Ñe’ênguérateeÑomoirû’atygua ha Ñe’ênguéra Rape’apoMboguataharakuéra ombojoasa tembiasakue.Upeicha avei Canada -ygua omomba’eguasu ñe’êkôi jepurujoja Francés ha Inglés tetâ Canada ñe’êteéramo. .",En la mencionada reunión los miembros de la Comisión de Lenguas y técnicos de la SPL intercambiaron experiencias. Asi mismo los canadienses enfatizaron la importancia de la aplicación de igualitaria de ambas lenguas oficiales (Francés e Inglés).,guarani,guarani,guarani,guarani,D,A,A,A
anlp,Aikuaase mba'eichaitépa rejapóta ko mba'e.,Necesito saber exactamente cómo harás esto.,guarani,guarani,guarani,guarani,A,A,A,A
libro_td,opavave tembiapoita rehegua jeike,Entradas de todos los eventos,guarani,guarani,guarani,guarani,A,A,A,A
hackaton,Ere chupe,le dijiste.,guarani,guarani,guarani,guarani,A,D,A,A
anlp,Ha'e oñe'ê mbohapy submarino rehe.,Él habla de tres submarinos diferentes.,jehe'a,jehe'a,jopara,jehe'a,A,A,A,A
anlp,Hetave otanteáva ndohasái upe aranduchauka ha márônte nombovevéi U2,La mayoría de las personas desaprueban exámenes y jamás logran volar U2.,jehe'a,jehe'a,guarani,jehe'a,A,A,A,A
spl,"Oiko Archivo Nacional kotýpe, oĩhápe tetã mburuvicha, ypykuéra rerapegua ha ambueve tekoaty rerapegua, oĩva ko atýpe.","Se realizó en las instalaciones del Archivo Nacional, con presencia de autoridades nacionales, de los pueblos indígenas y actores de la sociedad civil, integrantes de la comisión.",guarani,guarani,guarani,guarani,A,B,A,A
blogs,ARAREÑÓI PYTU,EL ESPÍRITU DE LA NAVIDAD,guarani,guarani,guarani,guarani,A,A,A,A
seminario,6 Umi Mercosur-pe oikepyahúva apytégui: Guarani ñe’ẽ Bolivia-pe .,6 De entre los nuevos miembros del Mercosur: la situación boliviana .,guarani,guarani,guarani,guarani,C,D,C,C
blogs,21 JASYAPY,21 DE MARZO,guarani,guarani,guarani,guarani,A,A,A,A
spl,"“Ñe'ẽnguéra niko tuichaiterei mba'e tapicha rekovépe ĝuarã, ha ndaha'éi oñemombe'u, ojehekombo'e, ojoaju haĝua apicha ndive ha oñeñakãrapu'ã haĝua, avei oñongatu rehe umi tekoteete, arandupy rapykuere, teko'yma ha tapicha arandu ipeteĩmbaitéva.","“Las lenguas desempeñan un papel crucial en la vida cotidiana de las personas, no solo como instrumento de comunicación, educación, integración social y desarrollo, sino también como depositario de la identidad, la historia cultural, las tradiciones y la memoria únicas de cada persona.",guarani,guarani,guarani,guarani,A,A,A,A
hackaton,che róga oime ko'ápe,mi casa está aquí.,guarani,guarani,guarani,guarani,A,A,A,A
libro_gn,Ñemopeteῖ,Estandarización,guarani,guarani,guarani,guarani,A,A,A,A
abc,"María Auxiliadora, 120 años tetãme","María Auxiliadora, 120 años en el país",guarani,jopara,jopara,jopara,A,A,A,A
abc,González Daher oñembohasáva cárcel Takumbúpe oime resolución ohaíva juzgado rehe.,"Que González Daher sea trasladado a la cárcel de Tacumbú dependerá de la resolución que adopte el juzgado, explicó Villamayor.",jopara,jopara,jopara,jopara,A,B,B,B
libro_td,eiporavo peteĩ tetã,Seleccionar un país,guarani,guarani,guarani,guarani,A,D,A,A
seminario,apohára,fabricante,guarani,guarani,guarani,guarani,A,A,A,A
libro_gn,"Upéicha avei, oñeñehaꞌãta ojeporavo umi ñeꞌẽ omanoveꞌỹmava arakaꞌeve, heꞌiséva, ikatúma guive, ogueveꞌỹmava maramove  .","Asimismo, se tratará de elegir términos que tengan estabilidad en el tiempo, o sea, que en lo posible tengan validez a lo largo del tiempo  .",guarani,guarani,guarani,guarani,A,A,A,A
blogs,"Omimbihápe tekojoja, tekopotî, ñyrô, joyke'yreko, tekopeteî ha py'aguapy, heñóiva mborayhúgui","Donde brillen la justicia, la honestidad, el perdón, la fraternidad, la unidad, y la paz, frutos del amor",guarani,guarani,guarani,guarani,A,A,A,A
libro_gn,Ñeꞌẽpykuaa,Lingüística,guarani,guarani,guarani,guarani,A,A,A,A
spl,"Omombe'u avei ko Equipo Lingũístico oñembosako'itaha ko'a guive omba'apo haĝua ambueve haipy, moñe'ẽrã ha aranduka rehe iñe'ẽteepekuéra, jahechápa ndojeporúi tekombo'erã.","Asimismo, dijo que en adelante el equipo estará trabajando en la elaboración de materiales didácticos en la lengua propia para las instrucciones académicas.",guarani,jehe'a,guarani,guarani,C,B,A,D
seminario,guerekopy,disponibilidad,guarani,guarani,guarani,guarani,A,A,A,A
spl,"Sãmbyhyhára omombarete avei mbo'ehaovusu mba'apoharakuérape ojehapykuererekave hagua ypykuéra ha pytaguakuéra ñe'ẽ, oikovéva ñane retãme.","Asimismo, la secretaria de Estado resaltó la importancia de que en las universidades e instituciones técnico-superiores se implementen líneas de investigación y se articulen proyectos de investigación lingũística.",guarani,guarani,guarani,guarani,D,B,A,D
abc,Osupende hikuái juez-pe,Conmebol: suspenden a juez,jopara,jehe'a,jopara,jopara,A,D,A,A
libro_gn,"Guarani Ñeꞌẽ Rerekuapavẽ (GÑR), temimoĩmby heñoivaꞌekue 2012-pe, oĩhína omongakuaa potávo hetepy  .","La Academia de la Lengua Guaraní (ALG), institución creada en el 2012, es la responsable del desarrollo de su corpus  .",guarani,guarani,guarani,guarani,A,A,A,A
seminario,reiguáva,gratuito,guarani,guarani,guarani,guarani,A,A,A,A
anlp,DOT ojogua upe yvy ha hembiporu,La propiedad y el equipo fueron comprados por el DOT.,guarani,guarani,guarani,guarani,A,A,A,A
spl,Karai Félix Ramírez oheja mba’e guasuete Nivaclé atýpe ha Paraguái tuichakuépe oñemba’apovévo ojehóvo ha tove taimbareteve ko’ẽ rei rehe ypykuéra ñe’ẽita ñane retãme.,Don Félix Ramírez dejó un gran legado al pueblo Nivaclé y a todo el Paraguay para seguir el camino del fortalecimiento de las lenguas indígenas de nuestro país.,guarani,guarani,guarani,guarani,A,C,A,A
spl,"“Los consejos de salud indígena, de educación escolar indígena y la formación de los facilitadores judiciales son algunos avances significativos en materia de derechos humanos y atención de los derechos lingüísticos”, omombe’u Ladislaa.","“Los consejos de salud indígena, de educación escolar indígena y la formación de los facilitadores judiciales son algunos avances significativos en materia de derechos humanos y atención de los derechos lingüísticos”, expresó Ladislaa.",other,jopara,jopara,jopara,D,A,A,A
blogs,"Hembirekomi ha ta'ýra kuéra ndive oha'ãmbaite va'ekue omoporã porãve haĝua ichupe, ani haĝua hesarái, mba'eve árape, oje'oipáramo jepe mombyry hikuái, pe imborayhúgui omokunu'ũ ypy va'ekue ichupekuéra, mombyry, amoite yvyty pa'ũ hovyũmi ypýpe.","Con su esposa e hijos se había esforzado para enbellecerla cada vez más, para que no olviden, en ningún momento, a pesar de que ellos estuvieran lejos, que con amor recibieron sus primeros cariños, lejos, allá cerca del valle verdoso.",guarani,guarani,guarani,guarani,A,A,A,A
seminario,"Tekotevẽterei niko ñamochichĩ ha jahyvykoive guarani, tuichaiterei itapykue rehe castellano renondépe, ñe’ẽ tee ijavegua, ha jeyvéramo oñokarãiha ndive .","El guaraní necesita urgentemente refuerzos de acciones positivas, dado que en condiciones muy desiguales e injustas compite con el castellano en los diversos ámbitos de uso .",guarani,guarani,guarani,guarani,D,A,A,A
libro_gn,Ñemuha,Mercado,guarani,guarani,guarani,guarani,A,D,A,A
libro_gn,"Guarani péicha péichante ojeporúvape, oñembopyaꞌeseve térã ateꞌỹguirei, ojeporumemete ñeꞌẽpehẽ hína opaite hendápe ojeꞌe hag̃ua ojejapóva ohóvo  .","En el guaraní coloquial, por economía lingüística o pereza mental, se impone el uso de hína en todas las personas del verbo para expresar aspecto continuo  .",guarani,guarani,guarani,guarani,A,A,A,A
abc,Ojekuaa oîha chipá ipukuvéva upe távape ojejapóva ha péicha ko'ágã sándwich ipukuvéva.,"A parte del chipá más largo del país, ahora también ya se tiene el sándwich más largo.",guarani,guarani,guarani,guarani,A,B,A,A
libro_gn,Ñemboherambyky,Abreviatura,guarani,guarani,guarani,guarani,A,A,A,A
abc,"Upévare ojapo ko atropello al Estado de Derecho, ha péva peteî acuerdo político “Ndikatúi ningo ley omopyenda reglamentación oîva Constitución Nacional-pe.","Al respecto, indico que es un atropello al Estado de Derecho, y que es parte de un acuerdo político “No puede una ley establecer una reglamentación que ya esta en la Constitución Nacional.",jopara,jopara,jopara,jopara,A,A,A,A
anlp,Ndaikuaáikuri nacheañoiha upe árape.,No sabía que no era la única persona en el campo ese día.,guarani,guarani,guarani,guarani,B,B,A,B
spl,TA'ANGAMBYRÝPE OJEPORU GUARANI HAIPY.,PROGRAMA TELEVISIVO CON SUBTÍTULO EN GUARANÍ.,guarani,guarani,guarani,guarani,A,D,A,A
libro_td,ndaipóri atygua ojoajúva gueteri,No hay miembros activos aún,guarani,guarani,guarani,guarani,A,A,A,A
abc,Táva San Pedro-pe upe kársel pe sarambi oiko  peteî banda brasileña Primer Comando da Capital (PCC) ojojapi pistola ha kyse ha oimehápe ambue preso-kuéra ha'éva parte del grupo omyakãva Armando Rotela.,Reclusos de la cárcel de San Pedro pertenecientes a la banda brasileña Primer Comando da Capital (PCC) atacaron con pistolas y cuchillos a otros presos que son parte del grupo liderado por Armando Rotela.,jopara,jopara,jopara,jopara,A,A,A,A
seminario,pokatuenda,estado,guarani,guarani,guarani,guarani,A,A,A,A
spl,"Heta tetã mburuvicha ijaty ha omoirũ ko aranduka guasu ñeguenohẽ, oikova'ekue Biblioteca y Archivo Central del Congreso de la Nación koty guasúpe.","Altas autoridades acompañaron la presentación del importante documento, realizada en salón auditorio de la Biblioteca y Archivo Central del Congreso de la Nación.",guarani,guarani,jopara,guarani,A,A,A,A
